ORDER LOG
Order id|Member id|Product id|Product Name|Product quantity|Total Price|Order type|Order status|Timestamp
f2f357a8-b35f-419e-853c-d38cfeac4607|97300788-0397-4199-ab57-afd9d22a405c|4|Dell XPS 15|20|44000.0|SELL|PROCESSING|2026-03-14T15:51:08.339444200
b3286848-3bcb-4eca-acef-3e6f99c701ed|aab4b20b-cbeb-4668-951f-719a3a028de5|2|Samsung Galaxy S24|200|220000.0|SELL|PROCESSING|2026-03-14T19:53:29.725387400
7a404413-7a58-4121-9d19-89c95f2c0a27|96f9ef8a-a762-4de7-bc29-d8315c0d40cc|6|iPad Air|40|32000.0|BUY|PROCESSING|2026-03-14T19:54:41.485309500
e52cb33f-6e7c-42d4-b42e-1b0cef81f2a8|96f9ef8a-a762-4de7-bc29-d8315c0d40cc|10|4K Monitor|40|18000.0|BUY|PROCESSING|2026-03-14T19:55:20.533186600
3fc89c11-ca3f-4813-925e-78f5e4dda408|96f9ef8a-a762-4de7-bc29-d8315c0d40cc|7|PlayStation 5|40|24000.0|SELL|PROCESSING|2026-03-14T19:59:42.933676800
3dd47269-7b43-4ce7-a042-01da93cc03c7|96f9ef8a-a762-4de7-bc29-d8315c0d40cc|1|iPhone 15|40|48000.0|BUY|PROCESSING|2026-03-14T20:00:28.598001900
40f54f20-cbfd-4ddc-826e-cd64b0c5f775|0c2a6613-379e-4b36-a365-357604ee44c4|1|iPhone 15|40|48000.0|BUY|PROCESSING|2026-03-14T20:07:01.018986300
c3ff62b1-9919-4a2b-974c-d4ddd9d8321c|0c2a6613-379e-4b36-a365-357604ee44c4|10|4K Monitor|10|4500.0|SELL|PROCESSING|2026-03-14T20:07:32.901219500
87fcadc3-733e-43ab-a5b5-36bbaadff7af|d5c46270-8035-40fd-9d09-a2a7da22f097|8|Logitech Mouse|40|2000.0|BUY|CANCELLED|2026-03-14T20:08:32.610455400
9613a8dd-77de-49a5-97c8-114d48a8758f|4d1ec973-fd0b-43bd-b0f0-2f554e7da236|8|Logitech Mouse|40|2000.0|BUY|CANCELLED|2026-03-14T22:05:31.074267100
241eb36b-a317-4e1c-b6a3-f4ee7b0d9aa8|4d1ec973-fd0b-43bd-b0f0-2f554e7da236|10|4K Monitor|20|9000.0|SELL|PROCESSING|2026-03-14T22:06:21.285790600
b90118d2-8f1f-44f2-a68c-6253055ee18b|4d1ec973-fd0b-43bd-b0f0-2f554e7da236|10|4K Monitor|20|9000.0|SELL|PROCESSING|2026-03-14T22:07:37.268817400
e369a6e0-c56b-44b0-8049-290152aeb869|ecfec58d-e502-4c89-989d-6ebe25cb8aa7|6|iPad Air|15|12000.0|BUY|COMPLETED|2026-03-14T22:08:12.509994500
